"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"Growth Change"
"02/21/2021 00:21:12:569 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-population","[step]","growth"
"1","100","27","-0.40963855421686746"
"4","130","31","-0.4074074074074074"
"7","160","39","-0.3970037453183521"
"5","140","39","-0.5112107623318386"
"8","170","28","-0.39436619718309857"
"2","110","33","-0.5287356321839081"
"1","100","28","-0.40963855421686746"
"3","120","28","-0.4"
"6","150","28","-0.38095238095238093"
"4","130","32","-0.4074074074074074"
"7","160","40","-0.3970037453183521"
"5","140","40","-0.5112107623318386"
"2","110","34","-0.5287356321839081"
"8","170","29","-0.39436619718309857"
"1","100","29","-0.40963855421686746"
"6","150","29","-0.38095238095238093"
"4","130","33","-0.4074074074074074"
"5","140","41","-0.5112107623318386"
"7","160","41","-0.3970037453183521"
"8","170","30","-0.39436619718309857"
"2","110","35","-0.5287356321839081"
"6","150","30","-0.38095238095238093"
"4","130","34","-0.4074074074074074"
"7","160","42","-0.3970037453183521"
"5","140","42","-0.5112107623318386"
"8","170","31","-0.39436619718309857"
"1","100","30","-0.40963855421686746"
"2","110","36","-0.5287356321839081"
"5","140","43","-0.5112107623318386"
"7","160","43","-0.3970037453183521"
"8","170","32","-0.39436619718309857"
"4","130","35","-0.4074074074074074"
"6","150","31","-0.38095238095238093"
"5","140","44","-0.5112107623318386"
"8","170","33","-0.39436619718309857"
"4","130","36","-0.4074074074074074"
"7","160","44","-0.3970037453183521"
"1","100","31","-0.40963855421686746"
"2","110","37","-0.5287356321839081"
"3","120","29","-0.4"
"5","140","45","-0.5112107623318386"
"7","160","45","-0.3970037453183521"
"6","150","32","-0.38095238095238093"
"8","170","34","-0.39436619718309857"
"4","130","37","-0.4074074074074074"
"2","110","38","-0.5287356321839081"
"1","100","32","-0.40963855421686746"
"3","120","30","-0.4"
"5","140","46","-0.5112107623318386"
"6","150","33","-0.38095238095238093"
"7","160","46","-0.3970037453183521"
"4","130","38","-0.4074074074074074"
"8","170","35","-0.39436619718309857"
"2","110","39","-0.5287356321839081"
"5","140","47","-0.5112107623318386"
"3","120","31","-0.4"
"1","100","33","-0.40963855421686746"
"7","160","47","-0.3970037453183521"
"6","150","34","-0.38095238095238093"
"4","130","39","-0.4074074074074074"
"2","110","40","-0.5287356321839081"
"8","170","36","-0.39436619718309857"
"5","140","48","-0.5112107623318386"
"1","100","34","-0.40963855421686746"
"7","160","48","-0.3970037453183521"
"6","150","35","-0.38095238095238093"
"4","130","40","-0.4074074074074074"
"5","140","49","-0.5112107623318386"
"2","110","41","-0.5287356321839081"
"3","120","32","-0.4"
"8","170","37","-0.39436619718309857"
"7","160","49","-0.3970037453183521"
"1","100","35","-0.40963855421686746"
"6","150","36","-0.38095238095238093"
"4","130","41","-0.4074074074074074"
"5","140","50","-0.5112107623318386"
"2","110","42","-0.5287356321839081"
"8","170","38","-0.39436619718309857"
"3","120","33","-0.4"
"1","100","36","-0.40963855421686746"
"7","160","50","-0.3970037453183521"
"6","150","37","-0.38095238095238093"
"1","100","37","-0.40963855421686746"
"8","170","39","-0.39436619718309857"
"5","140","51","-0.5112107623318386"
"6","150","38","-0.38095238095238093"
"2","110","43","-0.5287356321839081"
"1","100","38","-0.40963855421686746"
"4","130","42","-0.4074074074074074"
"7","160","51","-0.3970037453183521"
"8","170","40","-0.39436619718309857"
"5","140","52","-0.5112107623318386"
"2","110","44","-0.5287356321839081"
"6","150","39","-0.38095238095238093"
"7","160","52","-0.3970037453183521"
"1","100","39","-0.40963855421686746"
"4","130","43","-0.4074074074074074"
"5","140","53","-0.5112107623318386"
"8","170","41","-0.39436619718309857"
"2","110","45","-0.5287356321839081"
"6","150","40","-0.38095238095238093"
"7","160","53","-0.3970037453183521"
"4","130","44","-0.4074074074074074"
"1","100","40","-0.40963855421686746"
"5","140","54","-0.5112107623318386"
"8","170","42","-0.39436619718309857"
"2","110","46","-0.5287356321839081"
"7","160","54","-0.3970037453183521"
"6","150","41","-0.38095238095238093"
"5","140","55","-0.5112107623318386"
"4","130","45","-0.4074074074074074"
"1","100","41","-0.40963855421686746"
"2","110","47","-0.5287356321839081"
"8","170","43","-0.39436619718309857"
"7","160","55","-0.3970037453183521"
"5","140","56","-0.5112107623318386"
"6","150","42","-0.38095238095238093"
"1","100","42","-0.40963855421686746"
"4","130","46","-0.4074074074074074"
"3","120","34","-0.4"
"5","140","57","-0.5112107623318386"
"2","110","48","-0.5287356321839081"
"3","120","35","-0.4"
"1","100","43","-0.40963855421686746"
"3","120","36","-0.4"
"5","140","58","-0.5112107623318386"
"6","150","43","-0.38095238095238093"
"2","110","49","-0.5287356321839081"
"1","100","44","-0.40963855421686746"
"3","120","37","-0.4"
"3","120","38","-0.4"
"5","140","59","-0.5112107623318386"
"2","110","50","-0.5287356321839081"
"3","120","39","-0.4"
"6","150","44","-0.38095238095238093"
"3","120","40","-0.4"
"2","110","51","-0.5287356321839081"
"5","140","60","-0.5112107623318386"
"1","100","45","-0.40963855421686746"
"8","170","44","-0.39436619718309857"
"4","130","47","-0.4074074074074074"
"7","160","56","-0.3970037453183521"
"3","120","41","-0.4"
"6","150","45","-0.38095238095238093"
"3","120","42","-0.4"
"1","100","46","-0.40963855421686746"
"2","110","52","-0.5287356321839081"
"5","140","61","-0.5112107623318386"
"6","150","46","-0.38095238095238093"
"3","120","43","-0.4"
"1","100","47","-0.40963855421686746"
"2","110","53","-0.5287356321839081"
"5","140","62","-0.5112107623318386"
"3","120","44","-0.4"
"6","150","47","-0.38095238095238093"
"1","100","48","-0.40963855421686746"
"2","110","54","-0.5287356321839081"
"3","120","45","-0.4"
"5","140","63","-0.5112107623318386"
"6","150","48","-0.38095238095238093"
"1","100","49","-0.40963855421686746"
"3","120","46","-0.4"
"5","140","64","-0.5112107623318386"
"2","110","55","-0.5287356321839081"
"6","150","49","-0.38095238095238093"
"3","120","47","-0.4"
"1","100","50","-0.40963855421686746"
"5","140","65","-0.5112107623318386"
"2","110","56","-0.5287356321839081"
"3","120","48","-0.4"
"6","150","50","-0.38095238095238093"
"5","140","66","-0.5112107623318386"
"1","100","51","-0.40963855421686746"
"2","110","57","-0.5287356321839081"
"3","120","49","-0.4"
"6","150","51","-0.38095238095238093"
"1","100","52","-0.40963855421686746"
"5","140","67","-0.5112107623318386"
"3","120","50","-0.4"
"2","110","58","-0.5287356321839081"
"6","150","52","-0.38095238095238093"
"5","140","68","-0.5112107623318386"
"3","120","51","-0.4"
"1","100","53","-0.40963855421686746"
"2","110","59","-0.5287356321839081"
"6","150","53","-0.38095238095238093"
"7","160","57","-0.3970037453183521"
"4","130","48","-0.4074074074074074"
"3","120","52","-0.4"
"5","140","69","-0.5112107623318386"
"2","110","60","-0.5287356321839081"
"1","100","54","-0.40963855421686746"
"3","120","53","-0.4"
"6","150","54","-0.38095238095238093"
"2","110","61","-0.5287356321839081"
"5","140","70","-0.5112107623318386"
"3","120","54","-0.4"
"1","100","55","-0.40963855421686746"
"4","130","49","-0.4074074074074074"
"7","160","58","-0.3970037453183521"
"2","110","62","-0.5287356321839081"
"5","140","71","-0.5112107623318386"
"3","120","55","-0.4"
"6","150","55","-0.38095238095238093"
"1","100","56","-0.40963855421686746"
"2","110","63","-0.5287356321839081"
"5","140","72","-0.5112107623318386"
"7","160","59","-0.3970037453183521"
"3","120","56","-0.4"
"5","140","73","-0.5112107623318386"
"6","150","56","-0.38095238095238093"
"2","110","64","-0.5287356321839081"
"3","120","57","-0.4"
"1","100","57","-0.40963855421686746"
"5","140","74","-0.5112107623318386"
"4","130","50","-0.4074074074074074"
"2","110","65","-0.5287356321839081"
"6","150","57","-0.38095238095238093"
"3","120","58","-0.4"
"5","140","75","-0.5112107623318386"
"1","100","58","-0.40963855421686746"
"7","160","60","-0.3970037453183521"
"2","110","66","-0.5287356321839081"
"5","140","76","-0.5112107623318386"
"3","120","59","-0.4"
"2","110","67","-0.5287356321839081"
"6","150","58","-0.38095238095238093"
"1","100","59","-0.40963855421686746"
"5","140","77","-0.5112107623318386"
"7","160","61","-0.3970037453183521"
"2","110","68","-0.5287356321839081"
"3","120","60","-0.4"
"4","130","51","-0.4074074074074074"
"6","150","59","-0.38095238095238093"
"1","100","60","-0.40963855421686746"
"5","140","78","-0.5112107623318386"
"2","110","69","-0.5287356321839081"
"3","120","61","-0.4"
"7","160","62","-0.3970037453183521"
"6","150","60","-0.38095238095238093"
"5","140","79","-0.5112107623318386"
"1","100","61","-0.40963855421686746"
"2","110","70","-0.5287356321839081"
"3","120","62","-0.4"
"7","160","63","-0.3970037453183521"
"5","140","80","-0.5112107623318386"
"2","110","71","-0.5287356321839081"
"6","150","61","-0.38095238095238093"
"1","100","62","-0.40963855421686746"
"3","120","63","-0.4"
"2","110","72","-0.5287356321839081"
"5","140","81","-0.5112107623318386"
"4","130","52","-0.4074074074074074"
"7","160","64","-0.3970037453183521"
"3","120","64","-0.4"
"2","110","73","-0.5287356321839081"
"1","100","63","-0.40963855421686746"
"6","150","62","-0.38095238095238093"
"5","140","82","-0.5112107623318386"
"2","110","74","-0.5287356321839081"
"3","120","65","-0.4"
"5","140","83","-0.5112107623318386"
"8","170","45","-0.39436619718309857"
"4","130","53","-0.4074074074074074"
"7","160","65","-0.3970037453183521"
"4","130","54","-0.4074074074074074"
"8","170","46","-0.39436619718309857"
"3","120","66","-0.4"
"7","160","66","-0.3970037453183521"
"4","130","55","-0.4074074074074074"
"8","170","47","-0.39436619718309857"
"1","100","64","-0.40963855421686746"
"6","150","63","-0.38095238095238093"
"2","110","75","-0.5287356321839081"
"4","130","56","-0.4074074074074074"
"5","140","84","-0.5112107623318386"
"7","160","67","-0.3970037453183521"
"3","120","67","-0.4"
"8","170","48","-0.39436619718309857"
"4","130","57","-0.4074074074074074"
"7","160","68","-0.3970037453183521"
"8","170","49","-0.39436619718309857"
"1","100","65","-0.40963855421686746"
"4","130","58","-0.4074074074074074"
"7","160","69","-0.3970037453183521"
"8","170","50","-0.39436619718309857"
"5","140","85","-0.5112107623318386"
"7","160","70","-0.3970037453183521"
"4","130","59","-0.4074074074074074"
"8","170","51","-0.39436619718309857"
"3","120","68","-0.4"
"2","110","76","-0.5287356321839081"
"6","150","64","-0.38095238095238093"
"5","140","86","-0.5112107623318386"
"7","160","71","-0.3970037453183521"
"4","130","60","-0.4074074074074074"
"1","100","66","-0.40963855421686746"
"8","170","52","-0.39436619718309857"
"7","160","72","-0.3970037453183521"
"4","130","61","-0.4074074074074074"
"2","110","77","-0.5287356321839081"
"3","120","69","-0.4"
"6","150","65","-0.38095238095238093"
"1","100","67","-0.40963855421686746"
"8","170","53","-0.39436619718309857"
"5","140","87","-0.5112107623318386"
"4","130","62","-0.4074074074074074"
"7","160","73","-0.3970037453183521"
"2","110","78","-0.5287356321839081"
"3","120","70","-0.4"
"6","150","66","-0.38095238095238093"
"8","170","54","-0.39436619718309857"
"4","130","63","-0.4074074074074074"
"7","160","74","-0.3970037453183521"
"1","100","68","-0.40963855421686746"
"5","140","88","-0.5112107623318386"
"2","110","79","-0.5287356321839081"
"3","120","71","-0.4"
"4","130","64","-0.4074074074074074"
"8","170","55","-0.39436619718309857"
"6","150","67","-0.38095238095238093"
"7","160","75","-0.3970037453183521"
"1","100","69","-0.40963855421686746"
"2","110","80","-0.5287356321839081"
"4","130","65","-0.4074074074074074"
"5","140","89","-0.5112107623318386"
"8","170","56","-0.39436619718309857"
"7","160","76","-0.3970037453183521"
"1","100","70","-0.40963855421686746"
"3","120","72","-0.4"
"6","150","68","-0.38095238095238093"
"4","130","66","-0.4074074074074074"
"5","140","90","-0.5112107623318386"
"2","110","81","-0.5287356321839081"
"7","160","77","-0.3970037453183521"
"8","170","57","-0.39436619718309857"
"3","120","73","-0.4"
"5","140","91","-0.5112107623318386"
"2","110","82","-0.5287356321839081"
"1","100","71","-0.40963855421686746"
"4","130","67","-0.4074074074074074"
"6","150","69","-0.38095238095238093"
