"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"pop-endowment"
"03/06/2024 22:46:56:121 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","initial-population","visualization","[step]","count turtles","gini-index-reserve","mean-sugar","median-sugar","mean-lowviz","mean-hiviz","median-lowviz","median-hiviz","sd-lowviz","sd-hiviz","mean-lowmtb","mean-himtb","median-lowmtb","median-himtb","sd-lowmtb","sd-himtb","starve-count","age-death-count"
"29","25","10","900","color-agents-by-vision","500","414","78.5975658003187","439.58937198067633","349","299.859375","540.3741007194244","160.5","374","283.56911791629705","280.1754696919774","625.2596153846154","0","761.5","0","302.7375099109752","0","0","0"
"30","25","10","1000","color-agents-by-vision","500","432","76.12911127014685","459.3009259259259","526.5","314.38775510204084","585.75","183","776.5","261.8221305929153","257.39193954787646","636.828","0","743.5","0","245.95988183010573","0","0","0"
"33","25","15","300","color-agents-by-vision","500","194","33.09934617923491","655.9381443298969","645","666.7333333333333","638.9358974358975","880","649","352.8262126934964","414.8656280580368","1023.6987951807229","0","1079","0","216.63033225333254","0","0","0"
"34","25","15","400","color-agents-by-vision","500","236","46.584645131938125","558.8135593220339","538.5","568.40625","550.1747572815534","519","553","312.0984133936876","429.6892043067113","874.1111111111111","0","1013","0","340.08672029978334","0","0","0"
"35","25","15","500","color-agents-by-vision","500","272","45.81342415893641","581.8088235294117","527.5","449.7093023255814","656.1413043478261","390","582.5","296.3683664265318","346.8258448080988","829.1056910569106","0","974","0","333.5872293081832","0","0","0"
"36","25","15","600","color-agents-by-vision","500","280","44.6405133319087","601.6714285714286","524.5","530.4819277108434","638.7256637168142","616","531","300.2911742018997","360.54096873873357","830.7816901408451","0","961.5","0","300.6621325678439","0","0","0"
"37","25","15","700","color-agents-by-vision","500","323","46.58168681571157","586.1888544891641","481","431.86407766990294","702.6050420168067","346","909","264.8963559266333","273.8292557969196","772.7371428571429","0","901","0","284.09481083524565","0","0","0"
"41","25","20","100","color-agents-by-vision","500","58","10.471310211096917","782.448275862069","907.5","751.2","900.2272727272727","1104","994","513.5867154490217","480.39140111829465","981.4230769230769","4.5","1176.5","4.5","610.7355678574435","0.7071067811865476","0","0"
"38","25","15","800","color-agents-by-vision","500","379","62.58775019419644","495.9208443271768","416","355.00970873786406","578.445205479452","270","431.5","273.4820672023797","265.57518659595195","695.6548223350254","0","784","0","254.57375868661433","0","0","0"
"39","25","15","900","color-agents-by-vision","500","399","69.07529201579699","479.76942355889724","386","341.94871794871796","576.1172413793104","244","404","274.9841013007293","270.52055024239513","675.7183098591549","0","776","0","259.24051900015473","0","0","0"
"42","25","20","200","color-agents-by-vision","500","112","18.184938873552504","747.1339285714286","806.5","607.75","806.3243243243244","575.5","830","400.80716946778057","392.342824442976","1124","0","1215.5","0","324.59993265413624","0","0","0"
