"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 3-change.nlogo"
"exp3-3-new"
"03/07/2024 20:21:54:784 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio","(mean) death-ratio","(std) death-ratio","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar","(mean) starve-count","(std) starve-count","(mean) age-death-count","(std) age-death-count"
"20","5","color-agents-by-vision","950","1000","0.48601975366938155","N/A","1","N/A","0.6959365636190894","N/A","26.750526315789475","N/A","16","N/A","24.066641643062656","N/A","19045","N/A","8320","N/A"
"20","5","color-agents-by-vision","1000","1000","0.4816053743720595","N/A","1","N/A","0.7340136505201776","N/A","25.082","N/A","16","N/A","22.35309680865129","N/A","22154","N/A","8027","N/A"
"20","10","color-agents-by-vision","0","0","0","N/A","1","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A"
"20","10","color-agents-by-vision","50","1000","0.4962275819418677","N/A","1","N/A","0.29056603773584905","N/A","64.68","N/A","49","N/A","63.43032172617222","N/A","231","N/A","563","N/A"
"20","10","color-agents-by-vision","100","1000","0.4563409770687939","N/A","1","N/A","0.3574442435201929","N/A","60.18","N/A","43","N/A","52.876906799918544","N/A","593","N/A","1065","N/A"
"20","10","color-agents-by-vision","150","1000","0.47424193173902895","N/A","1","N/A","0.40892193308550184","N/A","57.42666666666667","N/A","37.5","N/A","53.077042480518344","N/A","1100","N/A","1589","N/A"
"20","10","color-agents-by-vision","200","1000","0.46819536423841035","N/A","1","N/A","0.4112303881090008","N/A","54.36","N/A","37.5","N/A","48.56731742239877","N/A","1494","N/A","2138","N/A"
"20","10","color-agents-by-vision","250","1000","0.469392067817136","N/A","1","N/A","0.4272844272844273","N/A","52.848","N/A","34.5","N/A","47.546393492425345","N/A","1992","N/A","2669","N/A"
"20","10","color-agents-by-vision","300","1000","0.4822257678500203","N/A","1","N/A","0.44579373460049276","N/A","50.14","N/A","28.5","N/A","46.31172984320748","N/A","2533","N/A","3148","N/A"
"20","10","color-agents-by-vision","350","1000","0.495137763991805","N/A","1","N/A","0.5055303460011344","N/A","42.63428571428572","N/A","24","N/A","40.41720776582367","N/A","3565","N/A","3486","N/A"
"20","10","color-agents-by-vision","400","1000","0.478482045545804","N/A","1","N/A","0.5535777437227396","N/A","43.5825","N/A","31","N/A","39.55825238910589","N/A","4696","N/A","3786","N/A"
"20","10","color-agents-by-vision","450","1000","0.45194868201175115","N/A","1","N/A","0.5762372270086155","N/A","41.224444444444444","N/A","29","N/A","35.49021418846028","N/A","5752","N/A","4229","N/A"
"20","10","color-agents-by-vision","500","1000","0.4564866509619158","N/A","1","N/A","0.5877389357671775","N/A","40.752","N/A","27","N/A","35.148389929401574","N/A","6826","N/A","4787","N/A"
"20","10","color-agents-by-vision","550","1000","0.4537721023328176","N/A","1","N/A","0.5837938818401183","N/A","37.82181818181818","N/A","24","N/A","33.11019681760009","N/A","7500","N/A","5346","N/A"
"20","10","color-agents-by-vision","600","1000","0.436444588184562","N/A","1","N/A","0.5875535576315235","N/A","37.361666666666665","N/A","26","N/A","31.22716911131608","N/A","8365","N/A","5871","N/A"
"20","10","color-agents-by-vision","650","1000","0.43454916298120705","N/A","1","N/A","0.5908335464075684","N/A","35.50923076923077","N/A","24","N/A","29.698600108520797","N/A","9243","N/A","6400","N/A"
"20","10","color-agents-by-vision","700","1000","0.4461252683482122","N/A","1","N/A","0.587730206667851","N/A","32.98714285714286","N/A","21","N/A","28.64120915113528","N/A","9925","N/A","6961","N/A"
"20","10","color-agents-by-vision","750","1000","0.4473829644533867","N/A","1","N/A","0.5869493392070485","N/A","30.482666666666667","N/A","19","N/A","27.117685336933405","N/A","10659","N/A","7500","N/A"
"20","10","color-agents-by-vision","800","1000","0.45508056239737216","N/A","1","N/A","0.5998682276620546","N/A","30.45","N/A","18","N/A","27.21968293209263","N/A","11836","N/A","7894","N/A"
"20","10","color-agents-by-vision","850","1000","0.4587512978018811","N/A","1","N/A","0.6139924238881355","N/A","29.528235294117646","N/A","18","N/A","26.191192972903433","N/A","13129","N/A","8253","N/A"
"20","10","color-agents-by-vision","900","1000","0.4653568484880888","N/A","1","N/A","0.6322650498051104","N/A","27.71","N/A","16","N/A","24.818390638885877","N/A","14599","N/A","8490","N/A"
"20","10","color-agents-by-vision","950","1000","0.47190326576172603","N/A","1","N/A","0.6643849245831177","N/A","26.25578947368421","N/A","16","N/A","23.59155523836218","N/A","16694","N/A","8432","N/A"
"20","10","color-agents-by-vision","1000","1000","0.47346433133346244","N/A","1","N/A","0.7117960072854541","N/A","25.835","N/A","16","N/A","22.93053825326794","N/A","19931","N/A","8069","N/A"
"20","15","color-agents-by-vision","0","0","0","N/A","1","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A"
"20","15","color-agents-by-vision","50","1000","0.40249999999999986","N/A","1","N/A","0.29077117572692796","N/A","57.92","N/A","53","N/A","44.87117160066501","N/A","230","N/A","560","N/A"
"20","15","color-agents-by-vision","100","1000","0.46915514131088415","N/A","1","N/A","0.3660012099213551","N/A","66.52","N/A","50","N/A","58.31202727784833","N/A","605","N/A","1047","N/A"
"20","15","color-agents-by-vision","150","1000","0.4459680114585821","N/A","1","N/A","0.4191729323308271","N/A","55.85333333333333","N/A","38.5","N/A","48.815140497948526","N/A","1115","N/A","1544","N/A"
"20","15","color-agents-by-vision","200","1000","0.4722025383395032","N/A","1","N/A","0.4113196973942281","N/A","47.275","N/A","29","N/A","44.269382945006775","N/A","1468","N/A","2100","N/A"
"20","15","color-agents-by-vision","250","1000","0.47575530549052175","N/A","1","N/A","0.4192691029900332","N/A","52.964","N/A","30.5","N/A","49.175151102399035","N/A","1893","N/A","2621","N/A"
"20","15","color-agents-by-vision","300","1000","0.46792962338392374","N/A","1","N/A","0.44147037830121344","N/A","49.416666666666664","N/A","29","N/A","44.56444421114645","N/A","2474","N/A","3129","N/A"
"20","15","color-agents-by-vision","350","1000","0.46382231157261805","N/A","1","N/A","0.48659003831417624","N/A","44.26","N/A","26","N/A","39.09716571264698","N/A","3302","N/A","3483","N/A"
"20","15","color-agents-by-vision","400","1000","0.45672166198621356","N/A","1","N/A","0.5499575088017482","N/A","39.17","N/A","27","N/A","34.24672532503978","N/A","4530","N/A","3706","N/A"
"20","15","color-agents-by-vision","450","1000","0.4513782034415618","N/A","1","N/A","0.5784836065573771","N/A","42.22888888888889","N/A","31","N/A","36.37485561836797","N/A","5646","N/A","4113","N/A"
"20","15","color-agents-by-vision","500","1000","0.4438787586738631","N/A","1","N/A","0.5801450589301904","N/A","41.504","N/A","29","N/A","34.845119438701815","N/A","6399","N/A","4630","N/A"
"20","15","color-agents-by-vision","550","1000","0.4322663203790819","N/A","1","N/A","0.5804156222204253","N/A","38.44","N/A","27","N/A","32.775093835964576","N/A","7178","N/A","5188","N/A"
"20","15","color-agents-by-vision","600","1000","0.4265217391304347","N/A","1","N/A","0.5862342342342343","N/A","36.723333333333336","N/A","25","N/A","30.13725068228186","N/A","8134","N/A","5740","N/A"
"20","15","color-agents-by-vision","650","1000","0.427426750696057","N/A","1","N/A","0.5888756927949327","N/A","35.32153846153846","N/A","23","N/A","29.803666708097555","N/A","8925","N/A","6230","N/A"
"20","15","color-agents-by-vision","700","1000","0.4228642771649086","N/A","1","N/A","0.5903198449236734","N/A","34.612857142857145","N/A","23","N/A","28.079900414276747","N/A","9745","N/A","6762","N/A"
"20","15","color-agents-by-vision","750","1000","0.41791102494097754","N/A","1","N/A","0.597663421418637","N/A","33.69733333333333","N/A","22","N/A","27.53738312757602","N/A","10743","N/A","7231","N/A"
"20","15","color-agents-by-vision","800","1000","0.42830425693652635","N/A","1","N/A","0.6005592377796188","N/A","32.8875","N/A","20","N/A","27.518792645860355","N/A","11598","N/A","7713","N/A"
"20","15","color-agents-by-vision","850","1000","0.4459252398016601","N/A","1","N/A","0.6071773570324575","N/A","31.30470588235294","N/A","19","N/A","27.629086284638394","N/A","12571","N/A","8132","N/A"
"20","15","color-agents-by-vision","900","1000","0.4467384666583476","N/A","1","N/A","0.6214224738284585","N/A","29.677777777777777","N/A","18","N/A","25.573174808888226","N/A","13831","N/A","8425","N/A"
"20","15","color-agents-by-vision","950","1000","0.46320958225159276","N/A","1","N/A","0.6462358427714857","N/A","28.16842105263158","N/A","17","N/A","25.08298246013511","N/A","15520","N/A","8495","N/A"
"20","15","color-agents-by-vision","1000","1000","0.4611304347826087","N/A","1","N/A","0.6869212084408683","N/A","25.714","N/A","17","N/A","22.78625501080462","N/A","18099","N/A","8248","N/A"
"20","20","color-agents-by-vision","0","0","0","N/A","1","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A"
"20","20","color-agents-by-vision","50","1000","0.42570894359613576","N/A","1","N/A","0.27471116816431324","N/A","64.18","N/A","50","N/A","53.407058312090356","N/A","214","N/A","564","N/A"
"20","20","color-agents-by-vision","100","1000","0.49821438047227384","N/A","1","N/A","0.31928480204342274","N/A","75.38","N/A","48.5","N/A","71.2251771397296","N/A","500","N/A","1065","N/A"
"20","20","color-agents-by-vision","150","1000","0.49628881987577644","N/A","1","N/A","0.3935203476886606","N/A","51.52","N/A","32.5","N/A","49.814248251469806","N/A","996","N/A","1534","N/A"
"20","20","color-agents-by-vision","200","1000","0.46875348377236375","N/A","1","N/A","0.40069484655471915","N/A","55.615","N/A","34","N/A","50.348102567632104","N/A","1384","N/A","2069","N/A"
"20","20","color-agents-by-vision","250","1000","0.4530098409174991","N/A","1","N/A","0.4167414721723519","N/A","54.06","N/A","34","N/A","47.14695900025672","N/A","1857","N/A","2598","N/A"
"20","20","color-agents-by-vision","300","1000","0.4770942758862181","N/A","1","N/A","0.4425329428989751","N/A","53.943333333333335","N/A","32.5","N/A","48.67076054465908","N/A","2418","N/A","3045","N/A"
"20","20","color-agents-by-vision","350","1000","0.45010775710775686","N/A","1","N/A","0.4736921681282129","N/A","46.51428571428571","N/A","32","N/A","39.71796806623777","N/A","3133","N/A","3480","N/A"
"20","20","color-agents-by-vision","400","1000","0.4720436972502044","N/A","1","N/A","0.5349248452696729","N/A","45.9125","N/A","28","N/A","41.299503219353774","N/A","4235","N/A","3681","N/A"
"20","20","color-agents-by-vision","450","1000","0.44523356355496113","N/A","1","N/A","0.5777683854606932","N/A","46.54666666666667","N/A","35.5","N/A","38.48944899244006","N/A","5468","N/A","3995","N/A"
"20","20","color-agents-by-vision","500","1000","0.4417226582454836","N/A","1","N/A","0.5791918253599628","N/A","43.066","N/A","29","N/A","36.25811558660741","N/A","6235","N/A","4529","N/A"
"20","20","color-agents-by-vision","550","1000","0.42533991388768977","N/A","1","N/A","0.5842835894893406","N/A","41.72909090909091","N/A","28","N/A","33.879101309616736","N/A","7071","N/A","5030","N/A"
"20","20","color-agents-by-vision","600","1000","0.41460449631075513","N/A","1","N/A","0.5837680727381129","N/A","40.13166666666667","N/A","27","N/A","31.97726128497719","N/A","7833","N/A","5584","N/A"
"20","20","color-agents-by-vision","650","1000","0.4131812764408865","N/A","1","N/A","0.590379403794038","N/A","39.02307692307692","N/A","26","N/A","31.1608148958104","N/A","8714","N/A","6045","N/A"
"20","20","color-agents-by-vision","700","1000","0.4063920548441782","N/A","1","N/A","0.5854252529037093","N/A","38.28285714285714","N/A","25","N/A","30.20260612460055","N/A","9375","N/A","6638","N/A"
"20","20","color-agents-by-vision","750","1000","0.41149285922471596","N/A","1","N/A","0.5917064473457181","N/A","36.59733333333333","N/A","23","N/A","29.235757197093527","N/A","10288","N/A","7098","N/A"
"20","20","color-agents-by-vision","800","1000","0.4118711578351879","N/A","1","N/A","0.5954984265827511","N/A","33.14375","N/A","21","N/A","26.668325508349326","N/A","11165","N/A","7583","N/A"
"20","20","color-agents-by-vision","850","1000","0.3947444159786665","N/A","1","N/A","0.6023994844083089","N/A","33.00941176470588","N/A","21","N/A","25.313672351094528","N/A","12151","N/A","8019","N/A"
"20","20","color-agents-by-vision","900","1000","0.4179131478303785","N/A","1","N/A","0.6063062218890555","N/A","33.02333333333333","N/A","20","N/A","26.163142438303186","N/A","12941","N/A","8402","N/A"
"20","20","color-agents-by-vision","950","1000","0.42386986166538426","N/A","1","N/A","0.6285416757061657","N/A","30.957894736842107","N/A","20","N/A","25.094013236328546","N/A","14486","N/A","8560","N/A"
"20","20","color-agents-by-vision","1000","1000","0.43932395003305563","N/A","1","N/A","0.6622053535757092","N/A","28.739","N/A","20","N/A","23.978487167601852","N/A","16575","N/A","8454","N/A"
"20","25","color-agents-by-vision","0","0","0","N/A","1","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A"
"20","25","color-agents-by-vision","50","1000","0.4371846435100547","N/A","1","N/A","0.2549800796812749","N/A","54.7","N/A","36","N/A","46.16131873049963","N/A","192","N/A","560","N/A"
"20","25","color-agents-by-vision","100","1000","0.43087807530243294","N/A","1","N/A","0.31335504885993487","N/A","73.57","N/A","58.5","N/A","58.97444318935915","N/A","481","N/A","1053","N/A"
"20","25","color-agents-by-vision","150","1000","0.43687627603103313","N/A","1","N/A","0.3686806411837238","N/A","65.30666666666667","N/A","42.5","N/A","54.3373685384819","N/A","897","N/A","1535","N/A"
"20","25","color-agents-by-vision","200","1000","0.45701436185963895","N/A","1","N/A","0.39112302651176645","N/A","67.54","N/A","47.5","N/A","57.79645796036135","N/A","1313","N/A","2043","N/A"
"20","25","color-agents-by-vision","250","1000","0.45536904468032524","N/A","1","N/A","0.3946753853339561","N/A","48.612","N/A","31","N/A","44.69312427465458","N/A","1690","N/A","2591","N/A"
"20","25","color-agents-by-vision","300","1000","0.4200876472199394","N/A","1","N/A","0.42274107820804857","N/A","48.68","N/A","30","N/A","39.30071356803234","N/A","2227","N/A","3040","N/A"
"20","25","color-agents-by-vision","350","1000","0.4648749408205681","N/A","1","N/A","0.44989710305524777","N/A","50.86571428571428","N/A","29","N/A","44.972538216276035","N/A","2842","N/A","3474","N/A"
"20","25","color-agents-by-vision","400","1000","0.45871605219238343","N/A","1","N/A","0.5038309114927345","N/A","49.4325","N/A","34","N/A","42.37711639239197","N/A","3814","N/A","3755","N/A"
"20","25","color-agents-by-vision","450","1000","0.44682687880351313","N/A","1","N/A","0.5505959073532719","N/A","44.50888888888889","N/A","31","N/A","37.384490681682806","N/A","4897","N/A","3996","N/A"
"20","25","color-agents-by-vision","500","1000","0.4128168219023428","N/A","1","N/A","0.5761505460218409","N/A","42.516","N/A","31","N/A","32.679130881808646","N/A","5909","N/A","4346","N/A"
"20","25","color-agents-by-vision","550","1000","0.4160682994417053","N/A","1","N/A","0.5886840977282469","N/A","44.61636363636364","N/A","32","N/A","35.19863107764308","N/A","6867","N/A","4797","N/A"
"20","25","color-agents-by-vision","600","1000","0.40040836715191686","N/A","1","N/A","0.5869413678258849","N/A","44.765","N/A","33","N/A","33.90982505694068","N/A","7578","N/A","5332","N/A"
"20","25","color-agents-by-vision","650","1000","0.3955042528748968","N/A","1","N/A","0.5839659453706988","N/A","40.793846153846154","N/A","29","N/A","30.770845850702027","N/A","8231","N/A","5863","N/A"
"20","25","color-agents-by-vision","700","1000","0.3826068279209991","N/A","1","N/A","0.5922948289169025","N/A","38.71857142857143","N/A","27.5","N/A","28.054452431774163","N/A","9209","N/A","6338","N/A"
"20","25","color-agents-by-vision","750","1000","0.401886317331685","N/A","1","N/A","0.5797843173094498","N/A","38.82933333333333","N/A","26","N/A","30.29627080883252","N/A","9516","N/A","6896","N/A"
"20","25","color-agents-by-vision","800","1000","0.3848456795402459","N/A","1","N/A","0.5872404554588078","N/A","36.54125","N/A","25","N/A","27.932885745480835","N/A","10521","N/A","7394","N/A"
"20","25","color-agents-by-vision","850","1000","0.39184673228779116","N/A","1","N/A","0.5920772545558383","N/A","35.265882352941176","N/A","24.5","N/A","26.94639600142348","N/A","11404","N/A","7856","N/A"
"20","25","color-agents-by-vision","900","1000","0.3914849214914617","N/A","1","N/A","0.599038974906567","N/A","33.974444444444444","N/A","24","N/A","25.462013675334397","N/A","12342","N/A","8260","N/A"
"20","25","color-agents-by-vision","950","1000","0.41605728602635217","N/A","1","N/A","0.6164525580347081","N/A","32.79263157894737","N/A","22","N/A","25.815837772494138","N/A","13676","N/A","8508","N/A"
"20","25","color-agents-by-vision","1000","1000","0.4149327814569533","N/A","1","N/A","0.6452501147315283","N/A","30.2","N/A","22","N/A","23.55174483312618","N/A","15466","N/A","8502","N/A"
"20","30","color-agents-by-vision","0","0","0","N/A","1","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A"
"20","30","color-agents-by-vision","50","1000","0.4361062520246193","N/A","1","N/A","0.22176308539944903","N/A","61.74","N/A","41.5","N/A","53.954557599097086","N/A","161","N/A","564","N/A"
"20","30","color-agents-by-vision","100","1000","0.45422034651266097","N/A","1","N/A","0.30238726790450926","N/A","67.53","N/A","47","N/A","57.38941144021731","N/A","456","N/A","1051","N/A"
"20","30","color-agents-by-vision","150","1000","0.44681277476079656","N/A","1","N/A","0.4008899676375405","N/A","68.74666666666667","N/A","44.5","N/A","57.100075420049926","N/A","991","N/A","1480","N/A"
"20","30","color-agents-by-vision","200","1000","0.4001108466002083","N/A","1","N/A","0.402406015037594","N/A","67.21","N/A","49.5","N/A","49.58760482987477","N/A","1338","N/A","1986","N/A"
"20","30","color-agents-by-vision","250","1000","0.435551577402788","N/A","1","N/A","0.41316526610644255","N/A","54.52","N/A","36","N/A","45.97932135175411","N/A","1770","N/A","2513","N/A"
"20","30","color-agents-by-vision","300","1000","0.4237615199206009","N/A","1","N/A","0.42810831426392065","N/A","54.85666666666667","N/A","33","N/A","43.73303155570624","N/A","2245","N/A","2998","N/A"
"20","30","color-agents-by-vision","350","1000","0.4506955156644593","N/A","1","N/A","0.45000802439415827","N/A","47.84","N/A","30","N/A","41.44216254825775","N/A","2804","N/A","3426","N/A"
"20","30","color-agents-by-vision","400","1000","0.4293203214983227","N/A","1","N/A","0.48953804347826085","N/A","49.9225","N/A","34","N/A","40.27681775999914","N/A","3603","N/A","3756","N/A"
"20","30","color-agents-by-vision","450","1000","0.42659610563137135","N/A","1","N/A","0.5550189720593308","N/A","49.34","N/A","34.5","N/A","39.23048732628059","N/A","4827","N/A","3869","N/A"
"20","30","color-agents-by-vision","500","1000","0.4208670222222223","N/A","1","N/A","0.5752362008950771","N/A","45","N/A","33","N/A","35.73679107688526","N/A","5784","N/A","4270","N/A"
"20","30","color-agents-by-vision","550","1000","0.3944211555445712","N/A","1","N/A","0.5736837384518791","N/A","45.47818181818182","N/A","35","N/A","33.462896783886904","N/A","6396","N/A","4752","N/A"
"20","30","color-agents-by-vision","600","1000","0.40482368794891227","N/A","1","N/A","0.5785542168674699","N/A","41.845","N/A","31","N/A","32.26001895595223","N/A","7203","N/A","5246","N/A"
