"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_custom.nlogo"
"mean-sugar-by-max-endowment-1000"
"03/05/2024 23:27:41:987 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar"
"104","610","20","color-agents-by-vision","400","500","711.6796875","665.5","443.86008983742863"
"105","620","20","color-agents-by-vision","400","500","740.1259541984733","686.5","451.91945186206374"
"106","620","20","color-agents-by-vision","400","500","728.9225092250922","704","439.8042299019036"
"107","630","20","color-agents-by-vision","400","500","696.75","650.5","455.8392603483166"
"108","630","20","color-agents-by-vision","400","500","760.6452830188679","742","447.49024306531044"
"109","640","20","color-agents-by-vision","400","500","742.9616858237548","683","449.05340446859907"
"110","640","20","color-agents-by-vision","400","500","689.7808764940239","649","459.10061184105246"
"111","650","20","color-agents-by-vision","400","500","707.2540983606557","707","448.5013464885746"
"112","650","20","color-agents-by-vision","400","500","758.1322957198444","754","469.03583577587625"
"113","660","20","color-agents-by-vision","400","500","746.5019157088122","738","434.02513773815406"
"114","660","20","color-agents-by-vision","400","500","736.2992424242424","689.5","451.4132912787904"
"115","670","20","color-agents-by-vision","400","500","729.8091603053435","699.5","443.76457488563693"
"116","670","20","color-agents-by-vision","400","500","667.1696750902527","627","439.0821331559485"
"117","680","20","color-agents-by-vision","400","500","730.8259109311741","677","456.2592755006369"
"119","690","20","color-agents-by-vision","400","500","712.6373626373627","653","461.8776380920484"
"118","680","20","color-agents-by-vision","400","500","747.2437275985664","712","458.1481783580698"
"120","690","20","color-agents-by-vision","400","500","702.8313725490196","668","460.20649143609404"
"121","700","20","color-agents-by-vision","400","500","766.7732342007434","753","465.53833854372635"
"122","700","20","color-agents-by-vision","400","500","718.3670411985019","662","457.1919688197099"
"123","710","20","color-agents-by-vision","400","500","678.9527272727273","600","461.83638674545426"
"124","710","20","color-agents-by-vision","400","500","736.3834586466165","681","457.10812431005525"
"125","720","20","color-agents-by-vision","400","500","756.9007633587786","716.5","474.6502621303511"
"126","720","20","color-agents-by-vision","400","500","723.2315789473685","687","460.45619875411563"
"127","730","20","color-agents-by-vision","400","500","702.61872909699","652","454.7604153317897"
"128","730","20","color-agents-by-vision","400","500","713.485401459854","679.5","472.80751545692334"
"129","740","20","color-agents-by-vision","400","500","747.9962546816479","702","474.2607107809279"
"130","740","20","color-agents-by-vision","400","500","723.7661870503597","665.5","458.1379035137242"
"131","750","20","color-agents-by-vision","400","500","726.5035971223022","658.5","484.62720607481424"
"132","750","20","color-agents-by-vision","400","500","775.859778597786","778","450.6856368114019"
"133","760","20","color-agents-by-vision","400","500","669.410071942446","679.5","455.79980583901414"
"134","760","20","color-agents-by-vision","400","500","781.0444444444445","789","477.79902553062766"
"135","770","20","color-agents-by-vision","400","500","726.5917602996254","661","470.75649605551763"
"136","770","20","color-agents-by-vision","400","500","662.6868327402135","585","468.9652989038786"
"137","780","20","color-agents-by-vision","400","500","726.7265917602996","671","462.7366740147032"
"138","780","20","color-agents-by-vision","400","500","743.9044117647059","719","485.30683988230896"
"139","790","20","color-agents-by-vision","400","500","724.3661971830986","711.5","463.57282759652855"
"140","790","20","color-agents-by-vision","400","500","804.6167883211679","787","463.1181178408282"
"141","800","20","color-agents-by-vision","400","500","755.8100358422939","746","462.8512313313672"
"142","800","20","color-agents-by-vision","400","500","727.9525547445255","691","445.63161079442835"
"143","810","20","color-agents-by-vision","400","500","748.4372623574144","713","477.59010466284377"
"144","810","20","color-agents-by-vision","400","500","708.1535714285715","641.5","483.1000415715265"
"145","820","20","color-agents-by-vision","400","500","759.9169811320754","724","475.82462779378534"
"146","820","20","color-agents-by-vision","400","500","785.1449275362319","711.5","484.6770253680601"
"147","830","20","color-agents-by-vision","400","500","717.4575645756457","694","459.7431942661542"
"148","830","20","color-agents-by-vision","400","500","767.8641114982578","683","497.0644514369713"
