"[all run data]","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)","count turtles / initial-population","mean [sugar] of turtles / (ticks + 1)"
,"1","15.225","1","15.455","1","14.45","1","14.525","1","14.645","1","14.7725","1","15.2875","1","14.475"
,"1","7.5825","1","7.69","1","7.14","1","7.255","1","7.3325","1","7.365","1","7.665","1","7.23875"
,"0.995","5.085427135678392","0.995","5.147403685092127","1","4.723333333333334","0.995","4.879396984924623","0.98","5.023809523809524","0.99","4.950505050505051","0.9925","5.172879932829555","1","4.8388333333333335"
,"0.985","3.8708121827411164","0.95","4.059473684210526","0.96","3.6796875","0.97","3.781701030927835","0.96","3.904427083333333","0.9725","3.761053984575836","0.98","3.934502551020409","0.9825","3.671183206106871"
,"0.95","3.2335789473684207","0.93","3.3586021505376342","0.925","3.0745945945945943","0.935","3.172941176470588","0.94","3.242446808510638","0.955","2.950680628272252","0.955","3.140575916230364","0.95","2.9427368421052615"
,"0.91","2.824633699633699","0.915","2.874134790528233","0.875","2.7311428571428578","0.92","2.6933876811594204","0.9","2.8490740740740743","0.9025","2.4381809787626927","0.9225","2.57181571815718","0.91","2.4012362637362608"
,"0.89","2.456340288924558","0.895","2.5310454908220277","0.855","2.402673350041771","0.88","2.3981331168831166","0.875","2.5185306122448976","0.8425","2.086392539211529","0.8725","2.207408923454767","0.865","2.0218414533443414"
,"0.86","2.2071220930232562","0.88","2.2502130681818184","0.83","2.1484186746987954","0.85","2.1513970588235294","0.865","2.2242774566473997","0.79","1.8248813291139234","0.83","1.9315512048192767","0.83","1.719691265060241"
,"0.835","1.9930139720558877","0.855","2.02696556205328","0.795","1.97561146051712","0.845","1.9009861932938859","0.82","2.0781842818428182","0.74","1.6418168168168163","0.79","1.7238045007032352","0.7925","1.5050473186119875"
,"0.805","1.8380124223602476","0.825","1.8579393939393936","0.785","1.7829936305732481","0.805","1.7606211180124216","0.805","1.8921739130434791","0.705","1.483120567375886","0.75","1.5728333333333342","0.72","1.4111458333333335"
,"0.78","1.704662004662004","0.795","1.72824471126358","0.745","1.6896278218425869","0.785","1.6144180660104233","0.77","1.7853010625737904","0.665","1.3793574846206431","0.72","1.4464962121212126","0.675","1.3128282828282818"
,"0.755","1.601048565121413","0.765","1.6287037037037038","0.72","1.5929976851851848","0.765","1.5037037037037033","0.73","1.720319634703196","0.6225","1.3163654618473888","0.685","1.3617092457420916","0.6175","1.2784075573549254"
,"0.74","1.499844074844075","0.755","1.515588385124809","0.705","1.4971085651936717","0.745","1.416055756324212","0.695","1.671942446043165","0.595","1.2532967032967035","0.655","1.2947152084556666","0.5925","1.2128205128205134"
,"0.72","1.4312003968253961","0.735","1.4441205053449946","0.69","1.4236024844720496","0.69","1.4231884057971007","0.68","1.5958508403361347","0.5675","1.2122718691000622","0.645","1.2102159468438534","0.575","1.1525776397515524"
,"0.705","1.3681323877068556","0.7","1.4189523809523812","0.685","1.3430170316301706","0.67","1.3777114427860695","0.64","1.6017187499999999","0.55","1.1687575757575759","0.61","1.1890163934426237","0.56","1.1054166666666674"
,"0.695","1.3110161870503592","0.685","1.3708029197080294","0.655","1.3291507633587785","0.665","1.3166823308270665","0.625","1.5626000000000002","0.5375","1.1271220930232553","0.6025","1.1299014522821573","0.555","1.0516891891891889"
,"0.685","1.2648346930012881","0.655","1.3651998203861693","0.645","1.2832193342453257","0.645","1.2952576379388967","0.615","1.520038259206122","0.5175","1.1112531969309456","0.595","1.0823035096391496","0.5425","1.022038492816482"
,"0.645","1.2858742463393629","0.655","1.306827820186599","0.635","1.2470253718285218","0.625","1.2851111111111113","0.61","1.477823315118397","0.51","1.0793845315904143","0.575","1.0650483091787448","0.54","0.9810442386831273"
,"0.625","1.2786105263157905","0.64","1.2851151315789473","0.625","1.2176421052631574","0.625","1.238736842105264","0.61","1.4321397756686796","0.5025","1.0532862005760666","0.5525","1.0606334841628964","0.525","0.9692230576441104"
,"0.625","1.23364","0.62","1.2798790322580644","0.625","1.1762399999999995","0.61","1.2262295081967216","0.605","1.4041322314049582","0.4925","1.0384010152284264","0.545","1.0341743119266051","0.52","0.9456009615384614"
,"0.615","1.2107626790553614","0.62","1.2414746543778805","0.605","1.1754820936639117","0.605","1.1975600157418334","0.605","1.3673356946084216","0.48","1.034871031746032","0.53","1.0274707996406107","0.5075","0.9400422237860666"
,"0.61","1.184612518628913","0.61","1.226751117734724","0.6","1.1507954545454537","0.595","1.181588999236058","0.6","1.342840909090909","0.475","1.0182296650717697","0.5225","1.012701174423663","0.5","0.9289090909090912"
,"0.6","1.1701811594202902","0.6","1.21536231884058","0.58","1.159745127436282","0.575","1.1910775047258984","0.59","1.3321296978629331","0.4675","1.0107184375726577","0.5125","1.0075927889713683","0.4875","0.929765886287625"
,"0.585","1.1707621082621087","0.6","1.1859722222222226","0.555","1.1844969969969965","0.56","1.1955729166666667","0.59","1.3022245762711866","0.465","0.9949820788530458","0.4975","1.0143634840871025","0.48","0.9240885416666663"
,"0.56","1.1989285714285713","0.595","1.1688403361344541","0.545","1.1833027522935775","0.56","1.1691785714285714","0.585","1.2876923076923075","0.465","0.9763655913978495","0.49","1.0090204081632657","0.4725","0.9199999999999998"
,"0.55","1.200804195804196","0.59","1.1562581486310295","0.54","1.1757834757834758","0.56","1.1464972527472532","0.585","1.2652859960552267","0.4575","0.9751366120218575","0.4825","1.0068553208449578","0.4675","0.9122994652406415"
