maximum-sugar-endowment,minimum-sugar-endowment,initial-population,gini-index,survival-ratio,mean-sugar,median-sugar,sd-sugar
20,10,60,0.276911483,0.616666667,1841.513514,1998,920.7162557
20,10,80,0.355248329,0.6875,1680.8,1921,1060.996185
20,10,100,0.354397936,0.58,1630.137931,1811.5,1019.943642
20,10,120,0.349170126,0.591666667,1436.253521,1223,892.5364773
20,10,140,0.328311121,0.65,1466.153846,1520,842.846512
20,10,160,0.362268051,0.65625,1310.485714,1165,837.3434195
20,10,180,0.352261696,0.627777778,1373.681416,1414,844.5959967
20,10,200,0.316803287,0.64,1380.765625,1400.5,764.7121169
20,10,220,0.366185707,0.636363636,1329.214286,1383,848.7965563
20,10,240,0.362559718,0.6375,1264.30719,1297,804.7167799
20,10,260,0.389672248,0.6,1274.589744,1232.5,865.5895911
20,10,280,0.369964759,0.564285714,1288.740506,1276,832.7324463
20,10,300,0.392438661,0.59,1214.610169,1206,835.2644726
20,10,320,0.390013907,0.625,1175.06,1193,805.6646411
20,10,340,0.369956638,0.579411765,1188.873096,1198,768.7878142
20,10,360,0.406147876,0.583333333,1147.438095,1188.5,818.0958569
20,10,380,0.380705361,0.539473684,1207.853659,1234,810.2364627
20,10,400,0.352973065,0.5425,1227.83871,1212,764.709983
20,10,420,0.381858818,0.542857143,1178.881579,1130,798.8551164
20,10,440,0.370543944,0.563636364,1192.032258,1116,780.1615626
20,10,460,0.31331057,0.580434783,1268.853933,1097,712.32175
20,10,480,0.37025697,0.539583333,1118.478764,1064,736.2704219
20,10,500,0.378101381,0.522,1085.888889,1050,725.1731352
20,10,520,0.345527908,0.505769231,1190.003802,1093,729.6724482
20,10,540,0.373069349,0.498148148,1103.256506,1033,726.5289829
20,10,560,0.30751593,0.491071429,1212.010909,1049,664.73917
20,10,580,0.332085507,0.482758621,1212.492857,1054.5,718.7006046
20,10,600,0.329462245,0.445,1190.996255,1053,699.7688797
20,10,620,0.264166827,0.462903226,1258.163763,1022,598.5978935
20,10,640,0.32102448,0.4703125,1127.707641,983,642.676306
20,10,660,0.313103536,0.45,1178.649832,1013,655.5078019
20,10,680,0.329320947,0.464705882,1145.810127,1054,664.0820532
20,10,700,0.316167844,0.462857143,1119.450617,960,625.9765231
20,10,720,0.318962383,0.445833333,1101.292835,968,619.6563777
20,10,740,0.315994705,0.45,1091.243243,959,607.2224273
20,10,760,0.334842863,0.436842105,1084.192771,1003.5,635.9674498
20,10,780,0.299797417,0.424358974,1145.646526,970,608.3865887
20,10,800,0.351493439,0.46875,970.1813333,787,599.5595747
20,10,820,0.325144327,0.434146341,1054.157303,843.5,607.3016402
20,10,840,0.328631774,0.442857143,988.7903226,787.5,573.9836527
20,10,860,0.339075936,0.443023256,958.7349081,722,575.9043237
20,10,880,0.355736922,0.440909091,982.6520619,833,611.6435097
20,10,900,0.357326544,0.441111111,925.2921914,771,580.105581
20,10,920,0.354040134,0.416304348,976.2950392,802,606.999926
20,10,940,0.374738904,0.446808511,861.9738095,652.5,570.3238094
20,10,960,0.35723012,0.436458333,914.3890215,742,573.4699334
20,10,980,0.371932028,0.418367347,892.5219512,691.5,585.5590234
