"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"pop-endowment1"
"03/06/2024 23:13:54:628 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","initial-population","visualization","[step]","count turtles","gini-index-reserve","mean-sugar","median-sugar","mean-lowviz","mean-hiviz","median-lowviz","median-hiviz","sd-lowviz","sd-hiviz","mean-lowmtb","mean-himtb","median-lowmtb","median-himtb","sd-lowmtb","sd-himtb","starve-count","age-death-count"
"34","25","0","760","color-agents-by-vision","500","321","52.837198479795234","562.3115264797508","499","341.64285714285717","693.3125","239.5","882","293.43247587847554","297.46815484956755","763.2176470588236","0","886.5","0","311.72238585091185","0","0","0"
"35","25","0","780","color-agents-by-vision","500","346","53.38548694899525","554.2947976878613","543.5","387.73333333333335","669.2992125984252","332","820","274.53542109516115","274.09132167659504","744.4020618556701","0","819","0","255.6551336336505","0","0","0"
"36","25","0","800","color-agents-by-vision","500","344","53.569870969800775","546.5639534883721","435.5","369.7448979591837","656.6030534351145","288.5","879","282.3309935557102","267.4871004622124","724.4734042553191","0","861.5","0","296.47395631912576","0","0","0"
"37","25","0","820","color-agents-by-vision","500","341","49.47092757625204","584.0909090909091","577","430.88793103448273","704.6991150442478","543","898","289.09750939783277","267.8177980374688","772.0609137055837","0","868","0","243.32231992283457","0","0","0"
"38","25","0","840","color-agents-by-vision","500","350","57.082212748835","525.4485714285714","460","377.87619047619046","614.5611510791367","322","478","283.12879969391525","282.4652117892205","717.0382513661202","0","838","0","288.7671476497295","0","0","0"
"39","25","0","860","color-agents-by-vision","500","380","60.99640413590613","496.55","458.5","373.4845360824742","563.875","521","388","282.17415254155185","263.2688933109743","697.1304347826087","0","764","0","223.27317368785037","0","0","0"
"40","25","0","880","color-agents-by-vision","500","396","66.14710368210075","490.0858585858586","515.5","343.25396825396825","597.0076923076923","248.5","785","266.0473021553254","277.8059524689696","685.296803652968","0","765","0","235.33592726029167","0","0","0"
"41","25","0","900","color-agents-by-vision","500","350","58.83769639157457","529.5542857142857","505.5","427.8448275862069","601.0813008130082","517","505","298.1492069839989","313.6694927994243","702.5329949238578","0","806","0","295.97261866195896","0","0","0"
"42","25","0","920","color-agents-by-vision","500","398","65.76907632680933","467.40954773869345","369","366.44642857142856","513.7956204379562","514.5","368","258.3208368713309","262.0622439165183","663.7294685990338","0","752","0","233.66936696842612","0","0","0"
"43","25","0","940","color-agents-by-vision","500","428","76.80604523691235","427.96495327102804","301","335.4230769230769","519.503355704698","506.5","322","267.7406724432835","269.4326527734808","640.0424528301887","0","726","0","228.69262280353692","0","0","0"
