"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"exp2-2"
"03/07/2024 01:58:29:483 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","gini-index","survival-ratio","mean-sugar","median-sugar","sd-sugar"
"68","40","25","color-agents-by-vision","500","1000","0.3289209106895674","0.528","1216.7916666666667","1082","713.0469977995667"
"69","40","30","color-agents-by-vision","500","1000","0.35172175430656083","0.526","1156.7718631178707","1056","721.5322815031186"
"70","40","30","color-agents-by-vision","500","1000","0.40571594491285057","0.522","1075.2988505747126","1059","771.8883505594855"
"72","45","0","color-agents-by-vision","500","1000","0.38319595050187094","0.514","1073.0622568093386","1082","727.3521622872577"
"71","45","0","color-agents-by-vision","500","1000","0.3484226424919942","0.55","1153.9563636363637","1056","716.1459589952796"
"74","45","5","color-agents-by-vision","500","1000","0.374138884097749","0.524","1142.3625954198474","1069","756.8712634260431"
"73","45","5","color-agents-by-vision","500","1000","0.34910999713685315","0.516","1189.5271317829458","1078.5","739.7522887273446"
"75","45","10","color-agents-by-vision","500","1000","0.35602118865516","0.544","1099.7610294117646","1011","697.707821853067"
"76","45","10","color-agents-by-vision","500","1000","0.3741113503475501","0.55","1118.6836363636364","1049","740.4604591195771"
"78","45","15","color-agents-by-vision","500","1000","0.3358442473583394","0.506","1223.5177865612648","1108","734.7199044370809"
"77","45","15","color-agents-by-vision","500","1000","0.36110847584928196","0.514","1165.7315175097276","1082","746.2861446300799"
"79","45","20","color-agents-by-vision","500","1000","0.35855046668307033","0.51","1174.8980392156864","1080","748.0782185434437"
"80","45","20","color-agents-by-vision","500","1000","0.3679008238884772","0.522","1128.295019157088","1063","735.5472904409993"
"81","45","25","color-agents-by-vision","500","1000","0.3695893569722912","0.526","1154.2851711026617","1071","754.4169671685437"
"82","45","25","color-agents-by-vision","500","1000","0.37448641462273974","0.536","1142.3507462686566","1059.5","762.035680522214"
"83","45","30","color-agents-by-vision","500","1000","0.3728215795180741","0.53","1121.9018867924528","1038","742.4781535635603"
"84","45","30","color-agents-by-vision","500","1000","0.33097680507625665","0.534","1201.569288389513","1062","710.2894291685532"
"85","50","0","color-agents-by-vision","500","1000","0.35415249194765314","0.534","1117.1385767790262","1045","700.7386968947744"
"86","50","0","color-agents-by-vision","500","1000","0.3862890602913586","0.54","1080.674074074074","1041.5","738.3023763700074"
"87","50","5","color-agents-by-vision","500","1000","0.3677763672787852","0.524","1139.4351145038167","1077","741.0213837508609"
"88","50","5","color-agents-by-vision","500","1000","0.35761397799527395","0.528","1180.9204545454545","1108.5","747.3362158386113"
"89","50","10","color-agents-by-vision","500","1000","0.35521075220772813","0.51","1166.9137254901962","1052","730.9478424846174"
"90","50","10","color-agents-by-vision","500","1000","0.40994993246589595","0.52","1017.1576923076923","1036.5","740.6967880272477"
"91","50","15","color-agents-by-vision","500","1000","0.38586943942120205","0.54","1092.7481481481482","1070","745.0167555663598"
"92","50","15","color-agents-by-vision","500","1000","0.36405944414361957","0.526","1109.8631178707224","1045","716.7052666243186"
"93","50","20","color-agents-by-vision","500","1000","0.39797729932667864","0.518","1115.011583011583","1067","788.9622341037991"
"94","50","20","color-agents-by-vision","500","1000","0.37332997734565937","0.516","1161.6860465116279","1073.5","772.8686358541358"
"95","50","25","color-agents-by-vision","500","1000","0.3826524613532748","0.528","1117.4848484848485","1072","755.1428589426931"
"96","50","25","color-agents-by-vision","500","1000","0.403478335830154","0.492","1083.3373983739837","1092.5","773.5881385767708"
"97","50","30","color-agents-by-vision","500","1000","0.3902682679686812","0.506","1094.9288537549407","1040","751.148926115081"
"98","50","30","color-agents-by-vision","500","1000","0.31492654985375973","0.508","1194.1968503937007","1072","671.0687899020147"
