"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_custom.nlogo"
"gini-by-max-endowment-1000"
"03/05/2024 23:31:13:854 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar","gini-index-reserve"
"28","180","20","color-agents-by-vision","400","500","538.8085106382979","547","395.6579416173347","48.77830516506082"
"29","190","20","color-agents-by-vision","400","500","527.6929133858267","542","376.28688306736626","51.27775042153485"
"30","190","20","color-agents-by-vision","400","500","522.00395256917","544","387.34974043219216","53.09626931784621"
"31","200","20","color-agents-by-vision","400","500","580.2575107296137","593","385.76966589732723","44.082514792899424"
"32","200","20","color-agents-by-vision","400","500","591.9021276595745","599","424.2393431715156","47.88247769542122"
"33","210","20","color-agents-by-vision","400","500","618.9141630901288","628","404.34530034441","43.52401062361744"
"35","220","20","color-agents-by-vision","400","500","591.4583333333334","606.5","395.7620242602654","45.75718915110954"
"34","210","20","color-agents-by-vision","400","500","579.3720930232558","561.5","409.0817099845104","51.61805081684266"
"36","220","20","color-agents-by-vision","400","500","596.8312757201646","608","396.98504292610755","46.19113976418675"
"37","230","20","color-agents-by-vision","400","500","585.244","594.5","399.552229879407","48.677874527547445"
"38","230","20","color-agents-by-vision","400","500","590.5813008130082","585","391.43581783690666","46.56844572317473"
"39","240","20","color-agents-by-vision","400","500","591.5254237288135","601","401.4230052427459","45.578130372492815"
"40","240","20","color-agents-by-vision","400","500","583.7071129707113","583","405.82152128006584","47.26121457141629"
"41","250","20","color-agents-by-vision","400","500","632.4243697478992","633","375.66828294772523","40.401114159862324"
"43","260","20","color-agents-by-vision","400","500","688.8086956521739","706","406.832516973861","38.80885081994115"
"42","250","20","color-agents-by-vision","400","500","597.188524590164","612.5","406.02702847385933","47.32260455412657"
"44","260","20","color-agents-by-vision","400","500","641.063025210084","614.5","398.3445069560181","42.29801144370238"
"45","270","20","color-agents-by-vision","400","500","591.964","589.5","397.8860640735431","47.92697191045401"
"46","270","20","color-agents-by-vision","400","500","590.9565217391304","554.5","416.2375852311127","45.95266333137142"
"47","280","20","color-agents-by-vision","400","500","628.7692307692307","612","408.7266258260673","45.83799080524901"
"48","280","20","color-agents-by-vision","400","500","602","588","392.37211973059493","43.90557008553049"
"49","290","20","color-agents-by-vision","400","500","621.356","628.5","379.22017486957685","43.75493919749713"
"50","290","20","color-agents-by-vision","400","500","646.1434426229508","648","403.3234667679439","43.71458971577901"
"51","300","20","color-agents-by-vision","400","500","654.4","657.5","400.5568801380665","42.15496383455583"
"52","300","20","color-agents-by-vision","400","500","592.7834645669292","596","394.8847487366248","48.380365551548465"
"53","310","20","color-agents-by-vision","400","500","635.2745901639345","627.5","407.0203107259548","44.7557368376912"
"54","310","20","color-agents-by-vision","400","500","635.1535269709543","643","389.39766156367534","42.315792568203136"
"55","320","20","color-agents-by-vision","400","500","631.8178294573644","658","401.1565596644375","46.89046923789485"
"56","320","20","color-agents-by-vision","400","500","613.7773109243698","624","384.3552835016159","42.741013424243064"
"57","330","20","color-agents-by-vision","400","500","638.6385542168674","614","398.7238790609175","44.540588978814135"
"58","330","20","color-agents-by-vision","400","500","621.6349206349206","608","388.60904478926574","45.1334039782448"
"59","340","20","color-agents-by-vision","400","500","644.3608695652174","643","407.9328496405191","41.710441084188645"
"60","340","20","color-agents-by-vision","400","500","649.0478087649402","642","397.3146734078408","44.08925118623051"
"61","350","20","color-agents-by-vision","400","500","605.7519685039371","615.5","398.557207095952","47.867539532435124"
"62","350","20","color-agents-by-vision","400","500","612.8412017167382","599","402.94617123853027","43.96082413580597"
