"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2-change.nlogo"
"pop-endowment"
"03/06/2024 22:48:42:305 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","initial-population","visualization","[step]","(mean) count turtles","(std) count turtles","(mean) gini-index-reserve","(std) gini-index-reserve","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) mean-lowviz","(std) mean-lowviz","(mean) mean-hiviz","(std) mean-hiviz","(mean) median-lowviz","(std) median-lowviz","(mean) median-hiviz","(std) median-hiviz","(mean) sd-lowviz","(std) sd-lowviz","(mean) sd-hiviz","(std) sd-hiviz","(mean) mean-lowmtb","(std) mean-lowmtb","(mean) mean-himtb","(std) mean-himtb","(mean) median-lowmtb","(std) median-lowmtb","(mean) median-himtb","(std) median-himtb","(mean) sd-lowmtb","(std) sd-lowmtb","(mean) sd-himtb","(std) sd-himtb","(mean) starve-count","(std) starve-count","(mean) age-death-count","(std) age-death-count"
"25","5","100","color-agents-by-vision","500","65","N/A","8.407061936096605","N/A","907.1384615384616","N/A","929","N/A","699.9166666666666","N/A","1042.1818181818182","N/A","632","N/A","965","N/A","286.2025532994972","N/A","405.86408243288906","N/A","1391.5217391304348","N/A","0","N/A","1450","N/A","0","N/A","116.92494467711771","N/A","0","N/A","0","N/A","0","N/A"
"25","5","200","color-agents-by-vision","500","125","N/A","20.88450690816486","N/A","672.248","N/A","665","N/A","617.7666666666667","N/A","681.9230769230769","N/A","560","N/A","709","N/A","351.2906924111606","N/A","393.6932640059774","N/A","1124.125","N/A","0","N/A","1163","N/A","0","N/A","215.1642410834701","N/A","0","N/A","0","N/A","0","N/A"
"25","5","300","color-agents-by-vision","500","168","N/A","29.2988960139911","N/A","653.4761904761905","N/A","667.5","N/A","638.2045454545455","N/A","679.4025974025974","N/A","546","N/A","683","N/A","355.7480542721116","N/A","398.93625858552565","N/A","1040.2121212121212","N/A","0","N/A","1096.5","N/A","0","N/A","248.80301229635248","N/A","0","N/A","0","N/A","0","N/A"
"25","5","400","color-agents-by-vision","500","223","N/A","41.01982649936958","N/A","597.5605381165919","N/A","572","N/A","568.8627450980392","N/A","608.7340425531914","N/A","483","N/A","591","N/A","349.13160954619065","N/A","407.52344547717695","N/A","903.1052631578947","N/A","0","N/A","1030","N/A","0","N/A","340.76810838957437","N/A","0","N/A","0","N/A","0","N/A"
"25","5","500","color-agents-by-vision","500","271","N/A","45.9122075311705","N/A","587.4723247232472","N/A","533","N/A","517.3648648648649","N/A","596.2372881355932","N/A","429","N/A","537.5","N/A","311.33664879933093","N/A","371.1449984571561","N/A","867.2049180327868","N/A","0","N/A","986.5","N/A","0","N/A","293.0037073785868","N/A","0","N/A","0","N/A","0","N/A"
"25","5","600","color-agents-by-vision","500","274","N/A","43.0792095451156","N/A","611.7700729927008","N/A","527","N/A","488.7926829268293","N/A","620.5094339622641","N/A","419","N/A","527.5","N/A","295.6778250767137","N/A","382.98604339317944","N/A","863.9347826086956","N/A","0","N/A","966","N/A","0","N/A","270.55512563545454","N/A","0","N/A","0","N/A","0","N/A"
"25","5","700","color-agents-by-vision","500","307","N/A","43.943125493464315","N/A","594.0846905537459","N/A","501","N/A","466.4375","N/A","663.7787610619469","N/A","558","N/A","508","N/A","313.20454123766905","N/A","287.7859675458629","N/A","779.2215189873418","N/A","0","N/A","892.5","N/A","0","N/A","303.92061533516187","N/A","0","N/A","0","N/A","0","N/A"
"25","5","800","color-agents-by-vision","500","340","N/A","55.8989951726739","N/A","537.9911764705882","N/A","472","N/A","355.04395604395603","N/A","611.0859375","N/A","239","N/A","481.5","N/A","298.90778630384443","N/A","287.94148649197575","N/A","733.8742857142857","N/A","0","N/A","855","N/A","0","N/A","305.59436372350365","N/A","0","N/A","0","N/A","0","N/A"
"25","5","900","color-agents-by-vision","500","385","N/A","67.34872021670633","N/A","469.84415584415586","N/A","365","N/A","290.4117647058824","N/A","557.7828947368421","N/A","214","N/A","381","N/A","252.57942003373464","N/A","273.3939475672412","N/A","663.1958762886597","N/A","0","N/A","795.5","N/A","0","N/A","287.6491328160924","N/A","0","N/A","0","N/A","0","N/A"
"25","5","1000","color-agents-by-vision","500","427","N/A","77.6526742569141","N/A","439.57142857142856","N/A","332","N/A","327.2751677852349","N/A","523.390977443609","N/A","207","N/A","345","N/A","265.94733422596534","N/A","264.97409349030164","N/A","646.9864253393665","N/A","0","N/A","732","N/A","0","N/A","234.05969478742355","N/A","0","N/A","0","N/A","0","N/A"
