"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3-change.nlogo"
"gini-by-max-endowment-1000"
"03/06/2024 00:13:56:063 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar","gini-index-reserve"
"156","820","color-agents-by-vision","400","300","408.71","386.5","246.10157631486564","69.30796897555717"
"157","830","color-agents-by-vision","400","300","423.615","414.5","240.95443422654338","65.54317009548765"
"158","830","color-agents-by-vision","400","300","427.475","424","232.8913164723422","62.7153810164337"
"159","840","color-agents-by-vision","400","300","428.38","418","252.79462693760175","67.98266725804193"
"160","840","color-agents-by-vision","400","300","422.6","412.5","238.8971423259996","65.11565309985806"
"161","850","color-agents-by-vision","400","300","415.435","414","241.49689989033328","66.94370358780552"
"162","850","color-agents-by-vision","400","300","465.51","465","239.27343006660726","59.195715451870036"
"163","860","color-agents-by-vision","400","300","428.9775","417","248.53929557993135","66.67792308454409"
"164","860","color-agents-by-vision","400","300","476.7175","486","247.33182219323007","59.723942901194135"
"165","870","color-agents-by-vision","400","300","442.9725","423","247.23542450785445","64.13553042231744"
"166","870","color-agents-by-vision","400","300","437.2725","452","247.59708000867468","65.16646084535388"
"167","880","color-agents-by-vision","400","300","452.8025","453","262.2955124155451","66.74611171537262"
"168","880","color-agents-by-vision","400","300","439.7225","422.5","250.98877246504236","65.62852423971941"
"169","890","color-agents-by-vision","400","300","489.2575","516.5","262.01186373061233","61.61406570159888"
"170","890","color-agents-by-vision","400","300","426.5","401","247.35282198989748","66.68554513481833"
"171","900","color-agents-by-vision","400","300","462.125","454.5","254.48703996229736","63.460968352718496"
"172","900","color-agents-by-vision","400","300","444.685","433.5","259.73665239332564","67.23863521369054"
"173","910","color-agents-by-vision","400","300","458.5875","431.5","258.8912107261044","64.92584566740264"
"174","910","color-agents-by-vision","400","300","438.1975","435","259.4757071485704","68.10935993473264"
"175","920","color-agents-by-vision","400","300","462.7625","462","261.07276488588917","64.99892223332708"
"176","920","color-agents-by-vision","400","300","470.8325","479","264.3528902247439","64.62343030695632"
"177","930","color-agents-by-vision","400","300","457.2025","435","256.9527549754501","64.65826685112184"
"178","930","color-agents-by-vision","400","300","488.4475","494","268.6947793591964","63.36376734449453"
"179","940","color-agents-by-vision","400","300","480.99","486.5","271.18732698227166","64.89818395392835"
"180","940","color-agents-by-vision","400","300","490.7825","489","251.9750657866678","59.05621380142933"
"181","950","color-agents-by-vision","400","300","458.68","433.5","263.3787834258811","66.01716883230142"
"182","950","color-agents-by-vision","400","300","504.05","512","266.95848850798154","61.04086400158711"
"183","960","color-agents-by-vision","400","300","462.87","422.5","276.7580724688834","68.64409013329882"
"184","960","color-agents-by-vision","400","300","511.945","542.5","258.2629985422613","57.92948461260485"
"185","970","color-agents-by-vision","400","300","508.215","505.5","278.71295458344156","63.196437531359834"
"186","970","color-agents-by-vision","400","300","491.195","480.5","272.1670797013903","63.82755830169285"
"187","980","color-agents-by-vision","400","300","488.39","497.5","276.8203508896458","65.29024447675013"
"189","990","color-agents-by-vision","400","300","504.835","501","294.7853265460598","67.30619905513683"
"188","980","color-agents-by-vision","400","300","479.2475","452.5","272.17954645329036","65.32651448364369"
"190","990","color-agents-by-vision","400","300","508.83","513","285.3278132298117","64.55136784387703"
"191","1000","color-agents-by-vision","400","300","520.5325","532","288.2340300588392","63.71712861348722"
"192","1000","color-agents-by-vision","400","300","494.0075","492","283.6790650959007","66.13143778181512"
