"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"mean-sugar-by-max-endowment-1000"
"03/06/2024 00:18:41:687 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar"
"131","750","20","color-agents-by-vision","400","500","798.9323308270676","699","481.3056487088793"
"132","750","20","color-agents-by-vision","400","500","746.1779359430604","718","491.6932155579578"
"133","760","20","color-agents-by-vision","400","500","724.4275092936803","706","469.3063627058938"
"134","760","20","color-agents-by-vision","400","500","720.1911764705883","663","469.3836268415743"
"135","770","20","color-agents-by-vision","400","500","710.978102189781","634.5","487.6735977887955"
"136","770","20","color-agents-by-vision","400","500","709.1814671814672","641","444.57235993828345"
"137","780","20","color-agents-by-vision","400","500","740.7582417582418","687","496.70769027000955"
"138","780","20","color-agents-by-vision","400","500","780.6750902527076","743","474.1490346870358"
"139","790","20","color-agents-by-vision","400","500","718.3011152416357","627","481.0613522856838"
"140","790","20","color-agents-by-vision","400","500","762.3971631205674","687","481.201445367688"
"141","800","20","color-agents-by-vision","400","500","743.4581818181819","687","457.16715892664644"
"142","800","20","color-agents-by-vision","400","500","774.1737588652483","730.5","461.8490397702592"
"143","810","20","color-agents-by-vision","400","500","757.0743494423792","723","465.87501732220727"
"144","810","20","color-agents-by-vision","400","500","784.3369963369963","751","485.097507619136"
"145","820","20","color-agents-by-vision","400","500","743.177304964539","705.5","466.41426584470827"
"146","820","20","color-agents-by-vision","400","500","779.4436363636364","735","502.25383946447"
"147","830","20","color-agents-by-vision","400","500","719.2296819787986","667","493.60546477985514"
"148","830","20","color-agents-by-vision","400","500","731.0960854092526","683","481.95076958756886"
"149","840","20","color-agents-by-vision","400","500","705.4121863799284","627","464.8588228426982"
"150","840","20","color-agents-by-vision","400","500","742.0380622837371","713","469.6034400505847"
"151","850","20","color-agents-by-vision","400","500","788.182156133829","728","497.0469739443889"
"152","850","20","color-agents-by-vision","400","500","829.3604240282685","759","476.25562760491505"
"153","860","20","color-agents-by-vision","400","500","798.6826568265683","769","490.1491031969425"
"154","860","20","color-agents-by-vision","400","500","704.516129032258","646","474.88939142861113"
"155","870","20","color-agents-by-vision","400","500","768.325","768","488.0309329207068"
"156","870","20","color-agents-by-vision","400","500","782.1423611111111","741","483.61932204187787"
"157","880","20","color-agents-by-vision","400","500","808.8996282527881","759","505.43180257290896"
"158","880","20","color-agents-by-vision","400","500","795.0112359550562","748","505.743950514785"
"159","890","20","color-agents-by-vision","400","500","786.2655172413793","737","506.9406800919456"
"160","890","20","color-agents-by-vision","400","500","777.963768115942","733","462.5776932784812"
"161","900","20","color-agents-by-vision","400","500","782.2518248175182","766","506.15453063213994"
"162","900","20","color-agents-by-vision","400","500","813.2928571428571","766.5","503.08021829722816"
"163","910","20","color-agents-by-vision","400","500","761.1881533101046","731","480.5890173894833"
"164","910","20","color-agents-by-vision","400","500","787.6426116838488","790","471.080302224048"
"165","920","20","color-agents-by-vision","400","500","750.9359430604982","713","485.7346823074708"
"166","920","20","color-agents-by-vision","400","500","804.9826388888889","787","483.47182613486666"
"167","930","20","color-agents-by-vision","400","500","788.616724738676","726","496.63487115161433"
"168","930","20","color-agents-by-vision","400","500","796.3356890459364","760","505.90000241666297"
"169","940","20","color-agents-by-vision","400","500","780.9469964664311","731","500.39154245672813"
"170","940","20","color-agents-by-vision","400","500","809.2989690721649","782","492.5859035521052"
"171","950","20","color-agents-by-vision","400","500","762.4105263157895","712","518.4475979890711"
"172","950","20","color-agents-by-vision","400","500","799.951048951049","773","512.7578044422529"
