"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3-change.nlogo"
"exp1-3-new"
"03/07/2024 01:48:31:164 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","gini-index","survival-ratio","death-ratio","mean-sugar","median-sugar","sd-sugar"
"27","25","5","color-agents-by-vision","260","1000","0.4773765045283646","1","0.43178070898598514","50.04615384615385","30.5","45.38898570975148"
"28","25","5","color-agents-by-vision","260","1000","0.4782047069973149","1","0.42992385264457705","46.82692307692308","28.5","42.61967984613576"
"29","25","5","color-agents-by-vision","280","1000","0.4824370941558438","1","0.448397913561848","50.285714285714285","31","46.532724171735396"
"30","25","5","color-agents-by-vision","280","1000","0.4530009735133147","1","0.43711106920610976","42.975","27","36.877731962464004"
"31","25","5","color-agents-by-vision","300","1000","0.5098318703265065","1","0.45117903930131004","47.846666666666664","26","47.022692403688055"
"32","25","5","color-agents-by-vision","300","1000","0.5009501790329851","1","0.4573012298631561","46.85666666666667","26","44.37589649258509"
"33","25","5","color-agents-by-vision","320","1000","0.48371930363785404","1","0.4651424891321848","49.565625","33.5","45.485214858984946"
"34","25","5","color-agents-by-vision","320","1000","0.497842599386339","1","0.474498657824096","46.85","28","44.58484216042736"
"36","25","5","color-agents-by-vision","340","1000","0.49351969130165796","1","0.4909198287317289","46.98823529411764","28.5","43.63755090955495"
"35","25","5","color-agents-by-vision","340","1000","0.4939504659416648","1","0.5005090909090909","47.13823529411765","29","44.63977428486909"
"37","25","5","color-agents-by-vision","360","1000","0.4712043195679051","1","0.5075632563256326","44.68611111111111","32","39.37285274882854"
"38","25","5","color-agents-by-vision","360","1000","0.491606029810298","1","0.5133995374778941","45.55555555555556","29.5","42.41074156025215"
"39","25","5","color-agents-by-vision","380","1000","0.47802334247791795","1","0.5351882160392799","43.671052631578945","29","39.89491081803896"
"40","25","5","color-agents-by-vision","380","1000","0.46780908087128187","1","0.531158776494479","41.39473684210526","29","37.04068893978259"
"41","25","5","color-agents-by-vision","400","1000","0.46787035989135406","1","0.5516437397994871","44.18","33.5","38.73433194438682"
"42","25","5","color-agents-by-vision","400","1000","0.48205369186558","1","0.5401139330643248","42.6275","25.5","39.439477998726474"
"44","25","5","color-agents-by-vision","420","1000","0.470196679903721","1","0.5644279151170423","42.911904761904765","30","38.04242514511525"
"43","25","5","color-agents-by-vision","420","1000","0.4665024454130603","1","0.574392603741131","44.32380952380952","32.5","39.32576028771815"
"45","25","5","color-agents-by-vision","440","1000","0.4500295455813506","1","0.5697174447174447","40.73409090909091","30","34.185607830939034"
"46","25","5","color-agents-by-vision","440","1000","0.4808959451758272","1","0.5729968195342157","43.143181818181816","28","39.77539387564014"
"48","25","5","color-agents-by-vision","460","1000","0.4664775336803439","1","0.5799497293116783","39.51304347826087","26","34.776501524092176"
"47","25","5","color-agents-by-vision","460","1000","0.45922351072650713","1","0.5802873951200694","40.46739130434783","28","34.89313005120486"
"49","25","5","color-agents-by-vision","480","1000","0.4621844143684036","1","0.5786858089453341","40.791666666666664","29","36.0518406221893"
"50","25","5","color-agents-by-vision","480","1000","0.4580211631286654","1","0.5833484986351228","40.139583333333334","27.5","35.13111878567086"
"51","25","5","color-agents-by-vision","500","1000","0.4429077872269471","1","0.5886402753872634","35.982","26","29.840351357487023"
"52","25","5","color-agents-by-vision","500","1000","0.4449767932489451","1","0.5814782608695652","41.712","30","34.62830193049003"
"53","25","5","color-agents-by-vision","520","1000","0.45470519475987886","1","0.5853336632846655","38.15576923076923","26","32.85931894320082"
"54","25","5","color-agents-by-vision","520","1000","0.4489754281792681","1","0.580746887966805","39.66153846153846","28","33.62213323818098"
"55","25","5","color-agents-by-vision","540","1000","0.4417652099866915","1","0.5865635114865398","37.775925925925925","27","31.511987501329212"
"56","25","5","color-agents-by-vision","540","1000","0.4649778546245672","1","0.5882306477093207","39.62777777777778","27","34.78724584839619"
"57","25","5","color-agents-by-vision","560","1000","0.4574908807899122","1","0.588438958301972","40.5625","27","35.03384033608215"
"58","25","5","color-agents-by-vision","560","1000","0.4411699042828915","1","0.5867925965420062","39.76428571428571","28","33.072070855745515"
"60","25","5","color-agents-by-vision","580","1000","0.4464088376102456","1","0.583926083449439","37.86379310344827","26","32.45010091649636"
"59","25","5","color-agents-by-vision","580","1000","0.4339516829221324","1","0.5924427425764034","35.19655172413793","25","29.25858724613694"
"61","25","5","color-agents-by-vision","600","1000","0.448918878392563","1","0.5896325275953612","37.05","25","31.34291196135148"
"62","25","5","color-agents-by-vision","600","1000","0.4592741772663038","1","0.5921116589125756","35.77166666666667","24","31.320832067884066"
"63","25","5","color-agents-by-vision","620","1000","0.43935188536385533","1","0.5791534973203243","35.938709677419354","25","30.086887395720233"
