"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"02/29/2024 00:25:42:701 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-initial-vision","initial-population","[step]","gini-index","survival-ratio"
"2","6","100","244","0.39878503246302366","0.99"
"6","6","100","208","0.3060651049572422","0.97"
"3","6","100","244","0.4308710606302992","0.98"
"7","6","200","148","0.3345491305507008","1"
"4","6","100","236","0.42045952670352327","0.98"
"5","6","100","216","0.29580641358170257","1"
"6","6","100","212","0.303611200430483","0.97"
"2","6","100","248","0.432916371986388","0.99"
"3","6","100","248","0.4194305587946015","0.98"
"8","6","200","176","0.4675028014624317","0.985"
"7","6","200","152","0.3454439976415756","0.995"
"4","6","100","240","0.4328682279983478","0.98"
"5","6","100","220","0.2935415267517349","1"
"6","6","100","216","0.3058217812209184","0.97"
"3","6","100","252","0.41507702154275805","0.98"
"2","6","100","252","0.4388245849656992","0.99"
"8","6","200","180","0.4421796457875338","0.985"
"4","6","100","244","0.4473424917927006","0.98"
"5","6","100","224","0.3206741772902458","1"
"1","6","100","36","0.21644330280693924","1"
"7","6","200","156","0.37053195629115454","0.995"
"6","6","100","220","0.3010279891489015","0.97"
"3","6","100","256","0.417930276755854","0.98"
"2","6","100","256","0.44788062892020364","0.98"
"8","6","200","184","0.4068153502779061","0.985"
"4","6","100","248","0.43492664558383376","0.98"
"6","6","100","224","0.3001520655323029","0.97"
"7","6","200","160","0.4323530702881237","0.995"
"2","6","100","260","0.4721694926630121","0.98"
"5","6","100","228","0.31645586001237824","1"
"3","6","100","260","0.41224520269508413","0.98"
"4","6","100","252","0.43294279106412176","0.98"
"8","6","200","188","0.39081534045379","0.985"
"6","6","100","228","0.3282805781484741","0.97"
"3","6","100","264","0.39854510643523705","0.98"
"2","6","100","264","0.44684212205993407","0.98"
"5","6","100","232","0.3624440702429636","1"
"7","6","200","164","0.44614882892448804","0.995"
"4","6","100","256","0.41215422339148394","0.98"
