"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"02/27/2024 19:29:36:847 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-initial-vision","initial-population","[step]","gini-index","survival-ratio"
"4","2","100","1600","0.3832715179484004","0.83"
"8","2","120","1600","0.3281980874086801","0.7833333333333333"
"6","2","120","1600","0.406544647809207","0.8"
"2","2","100","1800","0.3790781376988273","0.81"
"3","2","100","2000","0.3778489486566988","0.75"
"5","2","120","1800","0.392094351140492","0.725"
"7","2","120","1600","0.3889742374821916","0.7833333333333333"
"9","2","140","0","0","1"
"4","2","100","1800","0.37213356084178123","0.82"
"2","2","100","2000","0.40212450592885374","0.8"
"10","2","140","0","0","1"
"6","2","120","1800","0.38551906791354706","0.775"
"1","2","100","600","0.3428667104996258","0.88"
"8","2","120","1800","0.38822155488822124","0.75"
"7","2","120","1800","0.35390384928586816","0.775"
"4","2","100","2000","0.36924047541517424","0.8"
"5","2","120","2000","0.4371177906047125","0.6833333333333333"
"11","2","140","0","0","1"
"12","2","140","0","0","1"
"9","2","140","200","0.3063720089987679","0.9785714285714285"
"10","2","140","200","0.33258943688940984","0.9785714285714285"
"6","2","120","2000","0.3757711517029634","0.7583333333333333"
"8","2","120","2000","0.40023106955727805","0.7416666666666667"
"13","2","160","0","0","1"
"14","2","160","0","0","1"
"11","2","140","200","0.29748756183894776","0.9714285714285714"
"7","2","120","2000","0.41794025657569733","0.7416666666666667"
"15","2","160","0","0","1"
"9","2","140","400","0.40364938132533645","0.9785714285714285"
"12","2","140","200","0.3304630739699823","0.9714285714285714"
"10","2","140","400","0.398578743402248","0.9428571428571428"
"14","2","160","200","0.33898753556236844","0.95625"
"11","2","140","400","0.3940667404460663","0.9571428571428572"
"13","2","160","200","0.32214126500970697","0.9625"
"15","2","160","200","0.344849316037259","0.975"
"1","2","100","800","0.39517112252895603","0.84"
"9","2","140","600","0.40861702642615855","0.9714285714285714"
"12","2","140","400","0.4227727105165015","0.9357142857142857"
"10","2","140","600","0.3880760804048945","0.9071428571428571"
"11","2","140","600","0.3955848247697014","0.9428571428571428"
"14","2","160","400","0.4230834118076493","0.94375"
"15","2","160","400","0.3909430282769189","0.9375"
"12","2","140","600","0.3511903581789977","0.9"
"9","2","140","800","0.40201309257505224","0.9428571428571428"
"13","2","160","400","0.41661931035067706","0.925"
"10","2","140","800","0.39803830475279517","0.9"
"11","2","140","800","0.41504764525650106","0.9071428571428571"
"14","2","160","600","0.3946867977155505","0.90625"
"13","2","160","600","0.3896350531975746","0.875"
"12","2","140","800","0.40520144350986764","0.8857142857142857"
"15","2","160","600","0.39433364064589016","0.9125"
"9","2","140","1000","0.42283261061218674","0.9214285714285714"
"1","2","100","1000","0.39684069699263547","0.81"
"11","2","140","1000","0.3852497983454585","0.8714285714285714"
"10","2","140","1000","0.39716715284002857","0.8214285714285714"
"12","2","140","1000","0.3936037678517168","0.8571428571428571"
"13","2","160","800","0.3795768422961275","0.85"
"14","2","160","800","0.4266864256075878","0.875"
"15","2","160","800","0.4144913427830265","0.8875"
"9","2","140","1200","0.3543379303747965","0.9"
"11","2","140","1200","0.40778615676693764","0.85"
"10","2","140","1200","0.3999611545343252","0.8"
"12","2","140","1200","0.36940685045948196","0.8142857142857143"
"13","2","160","1000","0.4390560968220303","0.85"
"15","2","160","1000","0.3924806618472878","0.875"
"14","2","160","1000","0.37522538640989683","0.85"
"9","2","140","1400","0.3638127758309312","0.8642857142857143"
"11","2","140","1400","0.3736260906608033","0.8071428571428572"
"10","2","140","1400","0.38193034825870625","0.7714285714285715"
"12","2","140","1400","0.4204597055693631","0.7928571428571428"
"13","2","160","1200","0.43200889749206195","0.8375"
"1","2","100","1200","0.4209473336951546","0.81"
"15","2","160","1200","0.39867577214381755","0.8375"
"14","2","160","1200","0.3846282608037768","0.8"
"11","2","140","1600","0.42447974938465","0.7785714285714286"
"9","2","140","1600","0.4014462225150446","0.8428571428571429"
"10","2","140","1600","0.3815787471371943","0.7714285714285715"
"12","2","140","1600","0.4024184695966255","0.7714285714285715"
"13","2","160","1400","0.42006547030713015","0.8125"
"15","2","160","1400","0.40387445039397485","0.8125"
"14","2","160","1400","0.41750430506145825","0.75625"
"11","2","140","1800","0.37575370185537144","0.7785714285714286"
"9","2","140","1800","0.3847185476282727","0.8285714285714286"
"10","2","140","1800","0.414943683199435","0.7642857142857142"
"12","2","140","1800","0.38826388380919874","0.75"
"13","2","160","1600","0.3663828695750418","0.74375"
"15","2","160","1600","0.40708079879052456","0.7625"
"14","2","160","1600","0.4002134625149591","0.74375"
"1","2","100","1400","0.4214839525354539","0.79"
"11","2","140","2000","0.43863524726883957","0.7571428571428571"
"16","2","160","0","0","1"
"12","2","140","2000","0.4008269039093358","0.7357142857142858"
"17","2","180","0","0","1"
"10","2","140","2000","0.3904892019913814","0.75"
"18","2","180","0","0","1"
"9","2","140","2000","0.38111020121854094","0.7928571428571428"
"19","2","180","0","0","1"
"15","2","160","1800","0.3374877373724434","0.74375"
"14","2","160","1800","0.3902941243948885","0.725"
"13","2","160","1800","0.4408053791167021","0.74375"
"16","2","160","200","0.31413136477678094","0.98125"
"17","2","180","200","0.3635473861157562","0.9611111111111111"
"18","2","180","200","0.35799710982658955","0.9611111111111111"
"19","2","180","200","0.36630331727730464","0.9777777777777777"
"15","2","160","2000","0.4008272364929471","0.71875"
"20","2","180","0","0","1"
"14","2","160","2000","0.38960634584824166","0.7"
"13","2","160","2000","0.39155880417223426","0.725"
"21","2","200","0","0","1"
"22","2","200","0","0","1"
"16","2","160","400","0.3755133887195346","0.95625"
"17","2","180","400","0.38840191984575934","0.9388888888888889"
"19","2","180","400","0.4188729715433672","0.9388888888888889"
"18","2","180","400","0.39848415809643606","0.9166666666666666"
"20","2","180","200","0.3617954965648055","0.9833333333333333"
"22","2","200","200","0.3401415230691682","0.95"
"21","2","200","200","0.35137706760880083","0.975"
"1","2","100","1600","0.40151231722362507","0.76"
"16","2","160","600","0.39920271709409083","0.925"
"17","2","180","600","0.3821179790141964","0.9166666666666666"
"19","2","180","600","0.41351064208941707","0.9222222222222223"
"18","2","180","600","0.3975642759012304","0.8833333333333333"
"20","2","180","400","0.43644559657955745","0.9555555555555556"
"22","2","200","400","0.42353969032485844","0.925"
"21","2","200","400","0.42292765851673647","0.935"
"16","2","160","800","0.3800746083411707","0.90625"
"17","2","180","800","0.41856082774209713","0.8666666666666667"
"19","2","180","800","0.42676133176582665","0.8666666666666667"
